Project ID,Project Name,Ministry,Sector,Implementing Agency,Region,Original Cost (Rs Cr),Revised Cost (Rs Cr),Cumulative Expenditure,Planned Progress,Actual Progress,Planned Start Date,Planned Completion Date,Expected Completion Date,Milestone Count,Milestones Completed,Milestone Delays,Status,Reason for Delay
PRJ-IMP-001,Delhi-Amritsar-Katra Expressway Package II,Ministry of Road Transport and Highways,Road Transport & Highways,NHAI,Northern,3200.0,3850.0,2450.0,85.0,72.5,2022-01-15,2024-12-31,2025-06-30,24,18,3,Delayed,Land acquisition delay
PRJ-IMP-002,Mumbai-Ahmedabad High Speed Rail Terminal,Ministry of Railways,Railways,NHSRCL,Western,12500.0,14200.0,8900.0,75.0,68.0,2021-04-01,2025-03-31,2025-12-31,48,34,5,Delayed,Utility shifting
PRJ-IMP-003,Talcher Super Thermal Power Project Stage III,Ministry of Power,Power,NTPC,Eastern,7800.0,8450.0,6100.0,90.0,88.5,2020-08-10,2024-09-30,2024-11-30,30,28,1,In Progress,Contractor / tendering issues
PRJ-IMP-004,Paradip Port Deep Draft Coal Berth Augmentation,Ministry of Ports Shipping and Waterways,Shipping & Ports,Paradip Port Trust,Eastern,1450.0,1450.0,1120.0,95.0,94.0,2021-11-01,2024-08-31,2024-08-31,16,15,0,In Progress,None
PRJ-IMP-005,Rishikesh-Karanprayag Broad Gauge Rail Link,Ministry of Railways,Railways,RVNL,Northern,16200.0,21400.0,13800.0,70.0,52.0,2019-06-15,2024-12-31,2026-03-31,52,28,8,Delayed,Geological surprises
PRJ-IMP-006,Visakhapatnam Petroleum Refinery Expansion,Ministry of Petroleum and Natural Gas,Petroleum & Natural Gas,HPCL,Southern,26264.0,29500.0,24100.0,92.0,86.0,2018-09-01,2023-12-31,2024-10-31,40,36,2,Delayed,Lack of infrastructure linkages
PRJ-IMP-007,Dibrugarh Bypass 4-Lane Greenfield Section,Ministry of Road Transport and Highways,Road Transport & Highways,NHIDCL,North Eastern,1120.0,1480.0,640.0,65.0,42.0,2022-03-01,2024-10-31,2025-12-31,20,10,4,Delayed,Forest / environmental clearance delay
PRJ-IMP-008,Bhopal Metro Rail Priority Corridor,Ministry of Housing and Urban Affairs,Urban Development,MPMRCL,Central,3400.0,3400.0,1950.0,68.0,67.0,2021-07-01,2025-06-30,2025-06-30,26,18,0,In Progress,None
PRJ-IMP-009,Kudankulam Nuclear Power Plant Units 5 and 6,Department of Atomic Energy,Atomic Energy,NPCIL,Southern,49621.0,54200.0,31200.0,60.0,49.0,2020-01-01,2026-12-31,2027-12-31,64,32,6,Delayed,Financing tie-up delay
PRJ-IMP-010,Barmer Crude Oil Refinery & Petrochemical Complex,Ministry of Petroleum and Natural Gas,Petroleum & Natural Gas,HRRL,Western,43129.0,72937.0,48200.0,80.0,68.0,2019-01-16,2024-03-31,2025-06-30,70,48,7,Delayed,Contractor / tendering issues
PRJ-IMP-011,Srinagar Smart City Electric Bus Mobility Scheme,Ministry of Housing and Urban Affairs,Urban Development,SSCL,Northern,480.0,480.0,410.0,98.0,98.0,2022-09-01,2024-06-30,2024-06-30,12,12,0,Completed,None
PRJ-IMP-012,Ghatampur Thermal Power Project,Ministry of Coal,Coal,NUPPL,Northern,17237.0,19400.0,14500.0,85.0,74.0,2017-02-01,2023-11-30,2025-03-31,38,29,4,Delayed,Law and order problems
PRJ-IMP-013,Bengaluru Suburban Railway Corridor-2,Ministry of Railways,Railways,K-RIDE,Southern,7438.0,7438.0,1820.0,45.0,28.0,2022-10-01,2026-03-31,2027-03-31,32,11,5,Delayed,Land acquisition delay
PRJ-IMP-014,Varanasi Multimodal Inland Waterway Terminal,Ministry of Ports Shipping and Waterways,Shipping & Ports,IWAI,Northern,310.0,345.0,290.0,94.0,90.0,2021-03-15,2023-12-31,2024-09-30,14,13,1,In Progress,Utility shifting
PRJ-IMP-015,Leh Solar Park 13GW Inter-State Transmission,Ministry of New and Renewable Energy,Renewable Energy,POWERGRID,Northern,20800.0,20800.0,3200.0,25.0,24.0,2023-08-01,2028-03-31,2028-03-31,45,11,0,In Progress,None
